time,"
Boston Celtics
",score,"
Dallas Mavericks
",url
7:39.0,"{'player': '', 'action': ''}",6-7,"{'player': 'L. Dončić', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:35.0,"{'player': '', 'action': ''}",6-9,"{'player': 'J. Green D. Jones', 'action': 'J. Green makes 2-pt layup from 1 ft (assist by D. Jones )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
7:18.0,"{'player': 'J. Brown A. Horford', 'action': 'J. Brown makes 2-pt hook shot from 4 ft (assist by A. Horford )'}",8-9,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:58.0,"{'player': '', 'action': ''}",8-9,"{'player': 'K. Irving', 'action': 'misses 2-pt jump shot from 19 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:56.0,"{'player': 'J. Tatum', 'action': 'Defensive rebound by'}",8-9,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:53.0,"{'player': 'D. Lively J. Brown', 'action': 'Shooting foul by D. Lively (drawn by J. Brown )'}",8-9,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:53.0,"{'player': '', 'action': ''}",8-9,"{'player': '', 'action': 'Dallas full timeout'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:53.0,"{'player': 'S. Hauser J. Holiday', 'action': 'S. Hauser enters the game for J. Holiday'}",8-9,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:53.0,"{'player': 'L. Kornet J. Tatum', 'action': 'L. Kornet enters the game for J. Tatum'}",8-9,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:53.0,"{'player': '', 'action': ''}",8-9,"{'player': 'T. Hardaway K. Irving', 'action': 'T. Hardaway enters the game for K. Irving'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:53.0,"{'player': '', 'action': ''}",8-9,"{'player': 'M. Kleber D. Lively', 'action': 'M. Kleber enters the game for D. Lively'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:53.0,"{'player': 'J. Brown', 'action': 'makes free throw 1 of 2'}",9-9,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:53.0,"{'player': 'J. Brown', 'action': 'makes free throw 2 of 2'}",10-9,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:32.0,"{'player': '', 'action': ''}",10-11,"{'player': 'L. Dončić', 'action': 'makes 2-pt jump shot from 11 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:11.0,"{'player': 'D. White M. Kleber', 'action': 'D. White misses 2-pt layup from 4 ft (block by M. Kleber )'}",10-11,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
