PW_Home,SRS_Home,Point Differential,Away Score,Home Score,Winner
45,2.29,13,118,131,1
49,3.41,5,127,132,1
66,10.75,7,113,120,1
46,2.3,2,125,127,1
37,-1.77,8,114,106,0
49,3.08,3,116,119,1
49,3.41,20,99,119,1
20,-9.06,18,129,111,0
20,-9.29,20,142,122,0
46,1.1,11,104,115,1
26,-6.45,7,128,135,1
44,1.24,13,104,117,1
47,2.44,14,126,140,1
26,-5.8,3,122,119,0
49,3.08,4,116,112,0
29,-4.22,4,113,117,1
66,10.75,9,107,116,1
46,1.1,8,124,116,0
46,2.3,18,119,101,0
54,5.23,23,101,124,1
20,-8.29,8,122,114,0
45,2.29,5,123,128,1
49,3.41,8,113,121,1
18,-10.12,5,112,107,0
49,2.51,32,92,124,1
20,-9.29,14,123,137,1
66,10.75,17,111,128,1
26,-5.8,14,115,129,1
26,-6.45,21,125,104,0
24,-6.57,7,103,96,0
49,3.08,17,139,122,0
47,2.44,32,114,146,1
18,-10.12,53,135,82,0
47,1.98,8,119,127,1
46,1.1,2,116,118,1
57,6.39,18,109,127,1
47,2.77,4,120,124,1
54,5.23,1,118,117,0
20,-8.29,11,131,120,0
45,2.29,21,104,125,1
49,3.41,22,122,144,1
66,10.75,17,97,114,1
26,-5.8,36,146,110,0
47,2.44,9,119,128,1
49,3.08,4,108,112,1
20,-8.29,4,118,114,0
47,1.98,5,130,135,1
48,2.75,24,151,127,0
49,2.51,4,108,104,0
36,-2.38,6,124,130,1
46,1.1,4,112,108,0
26,-6.45,15,99,114,1
58,7.36,19,97,116,1
54,5.23,26,104,130,1
29,-4.22,17,108,125,1
45,2.29,12,131,143,1
42,1.07,5,114,109,0
52,4.46,2,115,113,0
47,2.44,13,119,132,1
47,2.77,6,126,132,1
20,-8.29,5,104,109,1
47,1.98,8,116,124,1
48,2.75,31,113,144,1
46,1.48,9,115,106,0
49,2.51,14,113,127,1
34,-3.02,19,121,102,0
26,-6.45,9,113,104,0
37,-1.77,16,108,124,1
44,1.24,7,134,127,0
46,2.3,9,120,111,0
45,2.29,25,144,119,0
20,-9.06,8,119,111,0
47,1.98,19,123,104,0
37,-1.77,19,95,114,1
24,-6.57,13,103,116,1
47,2.44,4,114,118,1
58,7.36,19,115,134,1
57,6.39,7,111,118,1
20,-8.29,1,118,117,0
49,2.51,10,111,121,1
34,-3.02,5,122,117,0
44,1.24,26,96,122,1
46,1.1,9,113,122,1
47,2.77,11,118,129,1
45,2.29,15,105,120,1
53,4.36,19,130,111,0
49,3.41,37,145,108,0
18,-10.12,7,102,95,0
48,2.75,7,117,110,0
52,4.46,2,106,104,0
36,-2.38,6,125,119,0
34,-3.02,11,115,126,1
26,-6.45,7,126,119,0
37,-1.77,14,109,95,0
58,7.36,9,129,120,0
46,2.3,25,119,144,1
47,2.77,20,106,126,1
45,2.29,12,110,98,0
53,4.36,7,122,129,1
54,5.23,6,114,120,1
42,1.07,11,126,115,0
46,1.1,6,113,119,1
49,3.08,14,128,114,0
20,-9.06,6,118,112,0
20,-9.29,8,127,119,0
37,-1.77,5,113,118,1
44,1.24,6,123,117,0
52,4.46,1,116,115,0
58,7.36,23,106,129,1
26,-5.8,12,130,118,0
20,-8.29,17,113,130,1
49,3.41,9,104,113,1
46,1.48,20,112,92,0
20,-9.29,30,132,102,0
34,-3.02,22,144,122,0
44,1.24,16,129,113,0
58,7.36,9,120,129,1
46,2.3,3,113,110,0
66,10.75,6,122,128,1
37,-1.77,16,120,104,0
