Date,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team,Point Differential
"Fri, Dec 29, 2023",Houston Rockets,Philadelphia 76ers,127,131,Philadelphia 76ers,Houston Rockets,4
"Fri, Dec 29, 2023",Denver Nuggets,Oklahoma City Thunder,93,119,Oklahoma City Thunder,Denver Nuggets,26
"Fri, Dec 29, 2023",Phoenix Suns,Charlotte Hornets,133,119,Phoenix Suns,Charlotte Hornets,14
"Fri, Dec 29, 2023",Portland Trail Blazers,San Antonio Spurs,134,128,Portland Trail Blazers,San Antonio Spurs,6
"Fri, Dec 29, 2023",Los Angeles Clippers,Memphis Grizzlies,117,106,Los Angeles Clippers,Memphis Grizzlies,11
"Sat, Dec 30, 2023",Utah Jazz,Miami Heat,117,109,Utah Jazz,Miami Heat,8
"Sat, Dec 30, 2023",Detroit Pistons,Toronto Raptors,129,127,Detroit Pistons,Toronto Raptors,2
"Sat, Dec 30, 2023",Indiana Pacers,New York Knicks,140,126,Indiana Pacers,New York Knicks,14
"Sat, Dec 30, 2023",Chicago Bulls,Philadelphia 76ers,105,92,Chicago Bulls,Philadelphia 76ers,13
"Sat, Dec 30, 2023",Minnesota Timberwolves,Los Angeles Lakers,108,106,Minnesota Timberwolves,Los Angeles Lakers,2
"Sat, Dec 30, 2023",Golden State Warriors,Dallas Mavericks,122,132,Dallas Mavericks,Golden State Warriors,10
"Sun, Dec 31, 2023",Washington Wizards,Atlanta Hawks,126,130,Atlanta Hawks,Washington Wizards,4
"Sun, Dec 31, 2023",New Orleans Pelicans,Los Angeles Lakers,129,109,New Orleans Pelicans,Los Angeles Lakers,20
"Sun, Dec 31, 2023",Oklahoma City Thunder,Brooklyn Nets,124,108,Oklahoma City Thunder,Brooklyn Nets,16
"Sun, Dec 31, 2023",San Antonio Spurs,Boston Celtics,101,134,Boston Celtics,San Antonio Spurs,33
"Sun, Dec 31, 2023",Memphis Grizzlies,Sacramento Kings,92,123,Sacramento Kings,Memphis Grizzlies,31
"Sun, Dec 31, 2023",Phoenix Suns,Orlando Magic,112,107,Phoenix Suns,Orlando Magic,5
"Mon, Jan 1, 2024",New York Knicks,Minnesota Timberwolves,112,106,New York Knicks,Minnesota Timberwolves,6
"Mon, Jan 1, 2024",Toronto Raptors,Cleveland Cavaliers,124,121,Toronto Raptors,Cleveland Cavaliers,3
"Mon, Jan 1, 2024",Houston Rockets,Detroit Pistons,136,113,Houston Rockets,Detroit Pistons,23
"Mon, Jan 1, 2024",Milwaukee Bucks,Indiana Pacers,113,122,Indiana Pacers,Milwaukee Bucks,9
"Mon, Jan 1, 2024",Denver Nuggets,Charlotte Hornets,111,93,Denver Nuggets,Charlotte Hornets,18
"Mon, Jan 1, 2024",Phoenix Suns,Portland Trail Blazers,109,88,Phoenix Suns,Portland Trail Blazers,21
"Mon, Jan 1, 2024",Utah Jazz,Dallas Mavericks,127,90,Utah Jazz,Dallas Mavericks,37
"Mon, Jan 1, 2024",Los Angeles Clippers,Miami Heat,121,104,Los Angeles Clippers,Miami Heat,17
"Tue, Jan 2, 2024",Philadelphia 76ers,Chicago Bulls,110,97,Philadelphia 76ers,Chicago Bulls,13
"Tue, Jan 2, 2024",Memphis Grizzlies,San Antonio Spurs,106,98,Memphis Grizzlies,San Antonio Spurs,8
"Tue, Jan 2, 2024",New Orleans Pelicans,Brooklyn Nets,112,85,New Orleans Pelicans,Brooklyn Nets,27
"Tue, Jan 2, 2024",Oklahoma City Thunder,Boston Celtics,127,123,Oklahoma City Thunder,Boston Celtics,4
"Tue, Jan 2, 2024",Golden State Warriors,Orlando Magic,121,115,Golden State Warriors,Orlando Magic,6
"Tue, Jan 2, 2024",Sacramento Kings,Charlotte Hornets,104,111,Charlotte Hornets,Sacramento Kings,7
"Wed, Jan 3, 2024",Cleveland Cavaliers,Washington Wizards,140,101,Cleveland Cavaliers,Washington Wizards,39
"Wed, Jan 3, 2024",Indiana Pacers,Milwaukee Bucks,142,130,Indiana Pacers,Milwaukee Bucks,12
"Wed, Jan 3, 2024",Atlanta Hawks,Oklahoma City Thunder,141,138,Atlanta Hawks,Oklahoma City Thunder,3
"Wed, Jan 3, 2024",Houston Rockets,Brooklyn Nets,112,101,Houston Rockets,Brooklyn Nets,11
"Wed, Jan 3, 2024",Memphis Grizzlies,Toronto Raptors,111,116,Toronto Raptors,Memphis Grizzlies,5
"Wed, Jan 3, 2024",Minnesota Timberwolves,New Orleans Pelicans,106,117,New Orleans Pelicans,Minnesota Timberwolves,11
"Wed, Jan 3, 2024",Dallas Mavericks,Portland Trail Blazers,126,97,Dallas Mavericks,Portland Trail Blazers,29
"Wed, Jan 3, 2024",New York Knicks,Chicago Bulls,116,100,New York Knicks,Chicago Bulls,16
"Wed, Jan 3, 2024",Phoenix Suns,Los Angeles Clippers,122,131,Los Angeles Clippers,Phoenix Suns,9
"Wed, Jan 3, 2024",Utah Jazz,Detroit Pistons,154,148,Utah Jazz,Detroit Pistons,6
"Wed, Jan 3, 2024",Los Angeles Lakers,Miami Heat,96,110,Miami Heat,Los Angeles Lakers,14
"Wed, Jan 3, 2024",Sacramento Kings,Orlando Magic,138,135,Sacramento Kings,Orlando Magic,3
"Thu, Jan 4, 2024",San Antonio Spurs,Milwaukee Bucks,121,125,Milwaukee Bucks,San Antonio Spurs,4
"Thu, Jan 4, 2024",Golden State Warriors,Denver Nuggets,127,130,Denver Nuggets,Golden State Warriors,3
"Fri, Jan 5, 2024",Boston Celtics,Utah Jazz,126,97,Boston Celtics,Utah Jazz,29
"Fri, Jan 5, 2024",Indiana Pacers,Atlanta Hawks,150,116,Indiana Pacers,Atlanta Hawks,34
"Fri, Jan 5, 2024",Brooklyn Nets,Oklahoma City Thunder,124,115,Brooklyn Nets,Oklahoma City Thunder,9
"Fri, Jan 5, 2024",Cleveland Cavaliers,Washington Wizards,114,90,Cleveland Cavaliers,Washington Wizards,24
"Fri, Jan 5, 2024",Philadelphia 76ers,New York Knicks,92,128,New York Knicks,Philadelphia 76ers,36
"Fri, Jan 5, 2024",Chicago Bulls,Charlotte Hornets,104,91,Chicago Bulls,Charlotte Hornets,13
"Fri, Jan 5, 2024",Houston Rockets,Minnesota Timberwolves,95,122,Minnesota Timberwolves,Houston Rockets,27
"Fri, Jan 5, 2024",New Orleans Pelicans,Los Angeles Clippers,95,111,Los Angeles Clippers,New Orleans Pelicans,16
"Fri, Jan 5, 2024",Dallas Mavericks,Portland Trail Blazers,139,103,Dallas Mavericks,Portland Trail Blazers,36
"Fri, Jan 5, 2024",Denver Nuggets,Orlando Magic,120,122,Orlando Magic,Denver Nuggets,2
"Fri, Jan 5, 2024",Phoenix Suns,Miami Heat,113,97,Phoenix Suns,Miami Heat,16
"Fri, Jan 5, 2024",Golden State Warriors,Detroit Pistons,113,109,Golden State Warriors,Detroit Pistons,4
"Fri, Jan 5, 2024",Los Angeles Lakers,Memphis Grizzlies,113,127,Memphis Grizzlies,Los Angeles Lakers,14
"Fri, Jan 5, 2024",Sacramento Kings,Toronto Raptors,135,130,Sacramento Kings,Toronto Raptors,5
"Sat, Jan 6, 2024",Indiana Pacers,Boston Celtics,101,118,Boston Celtics,Indiana Pacers,17
"Sat, Jan 6, 2024",Washington Wizards,New York Knicks,105,121,New York Knicks,Washington Wizards,16
"Sat, Jan 6, 2024",Philadelphia 76ers,Utah Jazz,109,120,Utah Jazz,Philadelphia 76ers,11
"Sat, Jan 6, 2024",Houston Rockets,Milwaukee Bucks,112,108,Houston Rockets,Milwaukee Bucks,4
"Sun, Jan 7, 2024",Cleveland Cavaliers,San Antonio Spurs,117,115,Cleveland Cavaliers,San Antonio Spurs,2
"Sun, Jan 7, 2024",Brooklyn Nets,Portland Trail Blazers,127,134,Portland Trail Blazers,Brooklyn Nets,7
"Sun, Jan 7, 2024",Orlando Magic,Atlanta Hawks,117,110,Orlando Magic,Atlanta Hawks,7
"Sun, Jan 7, 2024",Sacramento Kings,New Orleans Pelicans,100,133,New Orleans Pelicans,Sacramento Kings,33
"Sun, Jan 7, 2024",Dallas Mavericks,Minnesota Timberwolves,115,108,Dallas Mavericks,Minnesota Timberwolves,7
"Sun, Jan 7, 2024",Denver Nuggets,Detroit Pistons,131,114,Denver Nuggets,Detroit Pistons,17
"Sun, Jan 7, 2024",Phoenix Suns,Memphis Grizzlies,115,121,Memphis Grizzlies,Phoenix Suns,6
"Sun, Jan 7, 2024",Golden State Warriors,Toronto Raptors,118,133,Toronto Raptors,Golden State Warriors,15
"Sun, Jan 7, 2024",Los Angeles Lakers,Los Angeles Clippers,106,103,Los Angeles Lakers,Los Angeles Clippers,3
"Mon, Jan 8, 2024",Charlotte Hornets,Chicago Bulls,112,119,Chicago Bulls,Charlotte Hornets,7
"Mon, Jan 8, 2024",Indiana Pacers,Boston Celtics,133,131,Indiana Pacers,Boston Celtics,2
"Mon, Jan 8, 2024",Washington Wizards,Oklahoma City Thunder,128,136,Oklahoma City Thunder,Washington Wizards,8
"Mon, Jan 8, 2024",Miami Heat,Houston Rockets,120,113,Miami Heat,Houston Rockets,7
"Mon, Jan 8, 2024",Milwaukee Bucks,Utah Jazz,116,132,Utah Jazz,Milwaukee Bucks,16
"Mon, Jan 8, 2024",Los Angeles Clippers,Phoenix Suns,138,111,Los Angeles Clippers,Phoenix Suns,27
"Tue, Jan 9, 2024",Detroit Pistons,Sacramento Kings,110,131,Sacramento Kings,Detroit Pistons,21
"Tue, Jan 9, 2024",Orlando Magic,Minnesota Timberwolves,92,113,Minnesota Timberwolves,Orlando Magic,21
"Tue, Jan 9, 2024",New York Knicks,Portland Trail Blazers,112,84,New York Knicks,Portland Trail Blazers,28
"Tue, Jan 9, 2024",Dallas Mavericks,Memphis Grizzlies,103,120,Memphis Grizzlies,Dallas Mavericks,17
"Tue, Jan 9, 2024",Los Angeles Lakers,Toronto Raptors,132,131,Los Angeles Lakers,Toronto Raptors,1
"Wed, Jan 10, 2024",Boston Celtics,Minnesota Timberwolves,127,120,Boston Celtics,Minnesota Timberwolves,7
"Wed, Jan 10, 2024",Charlotte Hornets,Sacramento Kings,98,123,Sacramento Kings,Charlotte Hornets,25
"Wed, Jan 10, 2024",Detroit Pistons,San Antonio Spurs,108,130,San Antonio Spurs,Detroit Pistons,22
"Wed, Jan 10, 2024",Indiana Pacers,Washington Wizards,112,104,Indiana Pacers,Washington Wizards,8
"Wed, Jan 10, 2024",Atlanta Hawks,Philadelphia 76ers,139,132,Atlanta Hawks,Philadelphia 76ers,7
"Wed, Jan 10, 2024",Miami Heat,Oklahoma City Thunder,120,128,Oklahoma City Thunder,Miami Heat,8
"Wed, Jan 10, 2024",Chicago Bulls,Houston Rockets,124,119,Chicago Bulls,Houston Rockets,5
"Wed, Jan 10, 2024",Golden State Warriors,New Orleans Pelicans,105,141,New Orleans Pelicans,Golden State Warriors,36
"Wed, Jan 10, 2024",Utah Jazz,Denver Nuggets,124,111,Utah Jazz,Denver Nuggets,13
"Wed, Jan 10, 2024",Los Angeles Clippers,Toronto Raptors,126,120,Los Angeles Clippers,Toronto Raptors,6
"Thu, Jan 11, 2024",Cleveland Cavaliers,Brooklyn Nets,111,102,Cleveland Cavaliers,Brooklyn Nets,9
"Thu, Jan 11, 2024",Milwaukee Bucks,Boston Celtics,135,102,Milwaukee Bucks,Boston Celtics,33
"Thu, Jan 11, 2024",Oklahoma City Thunder,Portland Trail Blazers,139,77,Oklahoma City Thunder,Portland Trail Blazers,62
"Thu, Jan 11, 2024",Dallas Mavericks,New York Knicks,128,124,Dallas Mavericks,New York Knicks,4
"Thu, Jan 11, 2024",Los Angeles Lakers,Phoenix Suns,109,127,Phoenix Suns,Los Angeles Lakers,18
"Fri, Jan 12, 2024",Atlanta Hawks,Indiana Pacers,108,126,Indiana Pacers,Atlanta Hawks,18
"Fri, Jan 12, 2024",Detroit Pistons,Houston Rockets,110,112,Houston Rockets,Detroit Pistons,2
"Fri, Jan 12, 2024",Philadelphia 76ers,Sacramento Kings,112,93,Philadelphia 76ers,Sacramento Kings,19
"Fri, Jan 12, 2024",Chicago Bulls,Golden State Warriors,131,140,Golden State Warriors,Chicago Bulls,9
"Fri, Jan 12, 2024",Memphis Grizzlies,Los Angeles Clippers,119,128,Los Angeles Clippers,Memphis Grizzlies,9
"Fri, Jan 12, 2024",Miami Heat,Orlando Magic,99,96,Miami Heat,Orlando Magic,3
"Fri, Jan 12, 2024",Minnesota Timberwolves,Portland Trail Blazers,116,93,Minnesota Timberwolves,Portland Trail Blazers,23
"Fri, Jan 12, 2024",San Antonio Spurs,Charlotte Hornets,135,99,San Antonio Spurs,Charlotte Hornets,36
"Fri, Jan 12, 2024",Utah Jazz,Toronto Raptors,145,113,Utah Jazz,Toronto Raptors,32
"Fri, Jan 12, 2024",Denver Nuggets,New Orleans Pelicans,125,113,Denver Nuggets,New Orleans Pelicans,12
"Sat, Jan 13, 2024",Boston Celtics,Houston Rockets,145,113,Boston Celtics,Houston Rockets,32
"Sat, Jan 13, 2024",Atlanta Hawks,Washington Wizards,99,127,Washington Wizards,Atlanta Hawks,28
"Sat, Jan 13, 2024",Memphis Grizzlies,New York Knicks,94,106,New York Knicks,Memphis Grizzlies,12
"Sat, Jan 13, 2024",Milwaukee Bucks,Golden State Warriors,129,118,Milwaukee Bucks,Golden State Warriors,11
"Sat, Jan 13, 2024",Oklahoma City Thunder,Orlando Magic,112,100,Oklahoma City Thunder,Orlando Magic,12
"Sat, Jan 13, 2024",Dallas Mavericks,New Orleans Pelicans,108,118,New Orleans Pelicans,Dallas Mavericks,10
"Sat, Jan 13, 2024",San Antonio Spurs,Chicago Bulls,116,122,Chicago Bulls,San Antonio Spurs,6
"Sat, Jan 13, 2024",Utah Jazz,Los Angeles Lakers,132,125,Utah Jazz,Los Angeles Lakers,7
"Sun, Jan 14, 2024",Denver Nuggets,Indiana Pacers,117,109,Denver Nuggets,Indiana Pacers,8
"Sun, Jan 14, 2024",Miami Heat,Charlotte Hornets,104,87,Miami Heat,Charlotte Hornets,17
"Sun, Jan 14, 2024",Milwaukee Bucks,Sacramento Kings,143,142,Milwaukee Bucks,Sacramento Kings,1
"Sun, Jan 14, 2024",Minnesota Timberwolves,Los Angeles Clippers,109,105,Minnesota Timberwolves,Los Angeles Clippers,4
"Sun, Jan 14, 2024",Portland Trail Blazers,Phoenix Suns,116,127,Phoenix Suns,Portland Trail Blazers,11
"Mon, Jan 15, 2024",Philadelphia 76ers,Houston Rockets,124,115,Philadelphia 76ers,Houston Rockets,9
"Mon, Jan 15, 2024",Dallas Mavericks,New Orleans Pelicans,125,120,Dallas Mavericks,New Orleans Pelicans,5
"Mon, Jan 15, 2024",New York Knicks,Orlando Magic,94,98,Orlando Magic,New York Knicks,4
"Mon, Jan 15, 2024",Washington Wizards,Detroit Pistons,117,129,Detroit Pistons,Washington Wizards,12
"Mon, Jan 15, 2024",Atlanta Hawks,San Antonio Spurs,109,99,Atlanta Hawks,San Antonio Spurs,10
"Mon, Jan 15, 2024",Memphis Grizzlies,Golden State Warriors,116,107,Memphis Grizzlies,Golden State Warriors,9
"Mon, Jan 15, 2024",Cleveland Cavaliers,Chicago Bulls,109,91,Cleveland Cavaliers,Chicago Bulls,18
"Mon, Jan 15, 2024",Brooklyn Nets,Miami Heat,95,96,Miami Heat,Brooklyn Nets,1
"Mon, Jan 15, 2024",Toronto Raptors,Boston Celtics,96,105,Boston Celtics,Toronto Raptors,9
"Mon, Jan 15, 2024",Utah Jazz,Indiana Pacers,132,105,Utah Jazz,Indiana Pacers,27
"Mon, Jan 15, 2024",Los Angeles Lakers,Oklahoma City Thunder,112,105,Los Angeles Lakers,Oklahoma City Thunder,7
"Tue, Jan 16, 2024",Philadelphia 76ers,Denver Nuggets,126,121,Philadelphia 76ers,Denver Nuggets,5
"Tue, Jan 16, 2024",Phoenix Suns,Sacramento Kings,119,117,Phoenix Suns,Sacramento Kings,2
"Tue, Jan 16, 2024",Los Angeles Clippers,Oklahoma City Thunder,128,117,Los Angeles Clippers,Oklahoma City Thunder,11
"Wed, Jan 17, 2024",Detroit Pistons,Minnesota Timberwolves,117,124,Minnesota Timberwolves,Detroit Pistons,7
"Wed, Jan 17, 2024",Atlanta Hawks,Orlando Magic,106,104,Atlanta Hawks,Orlando Magic,2
"Wed, Jan 17, 2024",Boston Celtics,San Antonio Spurs,117,98,Boston Celtics,San Antonio Spurs,19
"Wed, Jan 17, 2024",Cleveland Cavaliers,Milwaukee Bucks,135,95,Cleveland Cavaliers,Milwaukee Bucks,40
"Wed, Jan 17, 2024",New York Knicks,Houston Rockets,109,94,New York Knicks,Houston Rockets,15
"Wed, Jan 17, 2024",Toronto Raptors,Miami Heat,121,97,Toronto Raptors,Miami Heat,24
"Wed, Jan 17, 2024",New Orleans Pelicans,Charlotte Hornets,132,112,New Orleans Pelicans,Charlotte Hornets,20
"Wed, Jan 17, 2024",Los Angeles Lakers,Dallas Mavericks,127,110,Los Angeles Lakers,Dallas Mavericks,17
"Wed, Jan 17, 2024",Portland Trail Blazers,Brooklyn Nets,105,103,Portland Trail Blazers,Brooklyn Nets,2
"Thu, Jan 18, 2024",New York Knicks,Washington Wizards,113,109,New York Knicks,Washington Wizards,4
"Thu, Jan 18, 2024",Toronto Raptors,Chicago Bulls,110,116,Chicago Bulls,Toronto Raptors,6
"Thu, Jan 18, 2024",Utah Jazz,Oklahoma City Thunder,129,134,Oklahoma City Thunder,Utah Jazz,5
"Thu, Jan 18, 2024",Minnesota Timberwolves,Memphis Grizzlies,118,103,Minnesota Timberwolves,Memphis Grizzlies,15
"Thu, Jan 18, 2024",Sacramento Kings,Indiana Pacers,121,126,Indiana Pacers,Sacramento Kings,5
"Fri, Jan 19, 2024",Charlotte Hornets,San Antonio Spurs,124,120,Charlotte Hornets,San Antonio Spurs,4
"Fri, Jan 19, 2024",Orlando Magic,Philadelphia 76ers,109,124,Philadelphia 76ers,Orlando Magic,15
"Fri, Jan 19, 2024",Boston Celtics,Denver Nuggets,100,102,Denver Nuggets,Boston Celtics,2
"Fri, Jan 19, 2024",Miami Heat,Atlanta Hawks,108,109,Atlanta Hawks,Miami Heat,1
"Fri, Jan 19, 2024",New Orleans Pelicans,Phoenix Suns,109,123,Phoenix Suns,New Orleans Pelicans,14
"Fri, Jan 19, 2024",Portland Trail Blazers,Indiana Pacers,118,115,Portland Trail Blazers,Indiana Pacers,3
"Fri, Jan 19, 2024",Los Angeles Lakers,Brooklyn Nets,112,130,Brooklyn Nets,Los Angeles Lakers,18
"Sat, Jan 20, 2024",Detroit Pistons,Milwaukee Bucks,135,141,Milwaukee Bucks,Detroit Pistons,6
"Sat, Jan 20, 2024",Charlotte Hornets,Philadelphia 76ers,89,97,Philadelphia 76ers,Charlotte Hornets,8
"Sat, Jan 20, 2024",Washington Wizards,San Antonio Spurs,127,131,San Antonio Spurs,Washington Wizards,4
"Sat, Jan 20, 2024",Atlanta Hawks,Cleveland Cavaliers,95,116,Cleveland Cavaliers,Atlanta Hawks,21
"Sat, Jan 20, 2024",New York Knicks,Toronto Raptors,126,100,New York Knicks,Toronto Raptors,26
"Sat, Jan 20, 2024",Chicago Bulls,Memphis Grizzlies,125,96,Chicago Bulls,Memphis Grizzlies,29
"Sat, Jan 20, 2024",Houston Rockets,Utah Jazz,127,126,Houston Rockets,Utah Jazz,1
"Sat, Jan 20, 2024",Minnesota Timberwolves,Oklahoma City Thunder,97,102,Oklahoma City Thunder,Minnesota Timberwolves,5
"Sun, Jan 21, 2024",Los Angeles Clippers,Brooklyn Nets,125,114,Los Angeles Clippers,Brooklyn Nets,11
"Sun, Jan 21, 2024",Orlando Magic,Miami Heat,105,87,Orlando Magic,Miami Heat,18
"Sun, Jan 21, 2024",Washington Wizards,Denver Nuggets,104,113,Denver Nuggets,Washington Wizards,9
"Sun, Jan 21, 2024",Houston Rockets,Boston Celtics,107,116,Boston Celtics,Houston Rockets,9
"Sun, Jan 21, 2024",Phoenix Suns,Indiana Pacers,117,110,Phoenix Suns,Indiana Pacers,7
"Sun, Jan 21, 2024",Los Angeles Lakers,Portland Trail Blazers,134,110,Los Angeles Lakers,Portland Trail Blazers,24
"Mon, Jan 22, 2024",Detroit Pistons,Milwaukee Bucks,113,122,Milwaukee Bucks,Detroit Pistons,9
"Mon, Jan 22, 2024",Orlando Magic,Cleveland Cavaliers,99,126,Cleveland Cavaliers,Orlando Magic,27
"Mon, Jan 22, 2024",Philadelphia 76ers,San Antonio Spurs,133,123,Philadelphia 76ers,San Antonio Spurs,10
"Mon, Jan 22, 2024",Toronto Raptors,Memphis Grizzlies,100,108,Memphis Grizzlies,Toronto Raptors,8
"Mon, Jan 22, 2024",Minnesota Timberwolves,Charlotte Hornets,125,128,Charlotte Hornets,Minnesota Timberwolves,3
"Mon, Jan 22, 2024",Dallas Mavericks,Boston Celtics,110,119,Boston Celtics,Dallas Mavericks,9
"Mon, Jan 22, 2024",Phoenix Suns,Chicago Bulls,115,113,Phoenix Suns,Chicago Bulls,2
"Mon, Jan 22, 2024",Sacramento Kings,Atlanta Hawks,122,107,Sacramento Kings,Atlanta Hawks,15
"Tue, Jan 23, 2024",Indiana Pacers,Denver Nuggets,109,114,Denver Nuggets,Indiana Pacers,5
"Tue, Jan 23, 2024",Brooklyn Nets,New York Knicks,103,108,New York Knicks,Brooklyn Nets,5
"Tue, Jan 23, 2024",New Orleans Pelicans,Utah Jazz,153,124,New Orleans Pelicans,Utah Jazz,29
"Tue, Jan 23, 2024",Oklahoma City Thunder,Portland Trail Blazers,111,109,Oklahoma City Thunder,Portland Trail Blazers,2
"Tue, Jan 23, 2024",Los Angeles Clippers,Los Angeles Lakers,127,116,Los Angeles Clippers,Los Angeles Lakers,11
"Wed, Jan 24, 2024",Detroit Pistons,Charlotte Hornets,113,106,Detroit Pistons,Charlotte Hornets,7
"Wed, Jan 24, 2024",Washington Wizards,Minnesota Timberwolves,107,118,Minnesota Timberwolves,Washington Wizards,11
"Wed, Jan 24, 2024",Miami Heat,Memphis Grizzlies,96,105,Memphis Grizzlies,Miami Heat,9
"Wed, Jan 24, 2024",Houston Rockets,Portland Trail Blazers,131,137,Portland Trail Blazers,Houston Rockets,6
"Wed, Jan 24, 2024",Milwaukee Bucks,Cleveland Cavaliers,126,116,Milwaukee Bucks,Cleveland Cavaliers,10
"Wed, Jan 24, 2024",Dallas Mavericks,Phoenix Suns,109,132,Phoenix Suns,Dallas Mavericks,23
"Wed, Jan 24, 2024",San Antonio Spurs,Oklahoma City Thunder,114,140,Oklahoma City Thunder,San Antonio Spurs,26
"Wed, Jan 24, 2024",Golden State Warriors,Atlanta Hawks,134,112,Golden State Warriors,Atlanta Hawks,22
"Thu, Jan 25, 2024",Indiana Pacers,Philadelphia 76ers,134,122,Indiana Pacers,Philadelphia 76ers,12
"Thu, Jan 25, 2024",Washington Wizards,Utah Jazz,108,123,Utah Jazz,Washington Wizards,15
"Thu, Jan 25, 2024",Brooklyn Nets,Minnesota Timberwolves,94,96,Minnesota Timberwolves,Brooklyn Nets,2
"Thu, Jan 25, 2024",Miami Heat,Boston Celtics,110,143,Boston Celtics,Miami Heat,33
"Thu, Jan 25, 2024",New York Knicks,Denver Nuggets,122,84,New York Knicks,Denver Nuggets,38
"Thu, Jan 25, 2024",Golden State Warriors,Sacramento Kings,133,134,Sacramento Kings,Golden State Warriors,1
"Thu, Jan 25, 2024",Los Angeles Lakers,Chicago Bulls,141,132,Los Angeles Lakers,Chicago Bulls,9
"Fri, Jan 26, 2024",Atlanta Hawks,Dallas Mavericks,143,148,Dallas Mavericks,Atlanta Hawks,5
"Fri, Jan 26, 2024",Charlotte Hornets,Houston Rockets,104,138,Houston Rockets,Charlotte Hornets,34
"Fri, Jan 26, 2024",Indiana Pacers,Phoenix Suns,133,131,Indiana Pacers,Phoenix Suns,2
"Fri, Jan 26, 2024",Toronto Raptors,Los Angeles Clippers,107,127,Los Angeles Clippers,Toronto Raptors,20
"Fri, Jan 26, 2024",Memphis Grizzlies,Orlando Magic,107,106,Memphis Grizzlies,Orlando Magic,1
"Fri, Jan 26, 2024",Milwaukee Bucks,Cleveland Cavaliers,100,112,Cleveland Cavaliers,Milwaukee Bucks,12
"Fri, Jan 26, 2024",New Orleans Pelicans,Oklahoma City Thunder,83,107,Oklahoma City Thunder,New Orleans Pelicans,24
"Fri, Jan 26, 2024",San Antonio Spurs,Portland Trail Blazers,116,100,San Antonio Spurs,Portland Trail Blazers,16
"Sat, Jan 27, 2024",Detroit Pistons,Washington Wizards,104,118,Washington Wizards,Detroit Pistons,14
"Sat, Jan 27, 2024",New York Knicks,Miami Heat,125,109,New York Knicks,Miami Heat,16
"Sat, Jan 27, 2024",Denver Nuggets,Philadelphia 76ers,111,105,Denver Nuggets,Philadelphia 76ers,6
"Sat, Jan 27, 2024",Brooklyn Nets,Houston Rockets,106,104,Brooklyn Nets,Houston Rockets,2
"Sat, Jan 27, 2024",Boston Celtics,Los Angeles Clippers,96,115,Los Angeles Clippers,Boston Celtics,19
"Sat, Jan 27, 2024",Charlotte Hornets,Utah Jazz,122,134,Utah Jazz,Charlotte Hornets,12
"Sat, Jan 27, 2024",Milwaukee Bucks,New Orleans Pelicans,141,117,Milwaukee Bucks,New Orleans Pelicans,24
"Sat, Jan 27, 2024",Golden State Warriors,Los Angeles Lakers,144,145,Los Angeles Lakers,Golden State Warriors,1
"Sat, Jan 27, 2024",San Antonio Spurs,Minnesota Timberwolves,113,112,San Antonio Spurs,Minnesota Timberwolves,1
"Sat, Jan 27, 2024",Dallas Mavericks,Sacramento Kings,115,120,Sacramento Kings,Dallas Mavericks,5
"Sun, Jan 28, 2024",Detroit Pistons,Oklahoma City Thunder,120,104,Detroit Pistons,Oklahoma City Thunder,16
"Sun, Jan 28, 2024",Indiana Pacers,Memphis Grizzlies,116,110,Indiana Pacers,Memphis Grizzlies,6
"Sun, Jan 28, 2024",Atlanta Hawks,Toronto Raptors,126,125,Atlanta Hawks,Toronto Raptors,1
"Sun, Jan 28, 2024",Orlando Magic,Phoenix Suns,113,98,Orlando Magic,Phoenix Suns,15
"Sun, Jan 28, 2024",Portland Trail Blazers,Chicago Bulls,96,104,Chicago Bulls,Portland Trail Blazers,8
"Mon, Jan 29, 2024",Charlotte Hornets,New York Knicks,92,113,New York Knicks,Charlotte Hornets,21
"Mon, Jan 29, 2024",Cleveland Cavaliers,Los Angeles Clippers,118,108,Cleveland Cavaliers,Los Angeles Clippers,10
"Mon, Jan 29, 2024",Boston Celtics,New Orleans Pelicans,118,112,Boston Celtics,New Orleans Pelicans,6
"Mon, Jan 29, 2024",Brooklyn Nets,Utah Jazz,147,114,Brooklyn Nets,Utah Jazz,33
"Mon, Jan 29, 2024",Miami Heat,Phoenix Suns,105,118,Phoenix Suns,Miami Heat,13
"Mon, Jan 29, 2024",Houston Rockets,Los Angeles Lakers,135,119,Houston Rockets,Los Angeles Lakers,16
"Mon, Jan 29, 2024",Memphis Grizzlies,Sacramento Kings,94,103,Sacramento Kings,Memphis Grizzlies,9
"Mon, Jan 29, 2024",Oklahoma City Thunder,Minnesota Timberwolves,101,107,Minnesota Timberwolves,Oklahoma City Thunder,6
"Mon, Jan 29, 2024",San Antonio Spurs,Washington Wizards,113,118,Washington Wizards,San Antonio Spurs,5
"Mon, Jan 29, 2024",Dallas Mavericks,Orlando Magic,131,129,Dallas Mavericks,Orlando Magic,2
"Mon, Jan 29, 2024",Denver Nuggets,Milwaukee Bucks,113,107,Denver Nuggets,Milwaukee Bucks,6
"Mon, Jan 29, 2024",Portland Trail Blazers,Philadelphia 76ers,130,104,Portland Trail Blazers,Philadelphia 76ers,26
"Tue, Jan 30, 2024",Atlanta Hawks,Los Angeles Lakers,138,122,Atlanta Hawks,Los Angeles Lakers,16
