Date,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team,Point Differential
"Fri, Nov 10, 2023",Washington Wizards,Charlotte Hornets,117,124,Charlotte Hornets,Washington Wizards,7
"Fri, Nov 10, 2023",Boston Celtics,Brooklyn Nets,121,107,Boston Celtics,Brooklyn Nets,14
"Fri, Nov 10, 2023",Houston Rockets,New Orleans Pelicans,104,101,Houston Rockets,New Orleans Pelicans,3
"Fri, Nov 10, 2023",Memphis Grizzlies,Utah Jazz,121,127,Utah Jazz,Memphis Grizzlies,6
"Fri, Nov 10, 2023",San Antonio Spurs,Minnesota Timberwolves,110,117,Minnesota Timberwolves,San Antonio Spurs,7
"Fri, Nov 10, 2023",Dallas Mavericks,Los Angeles Clippers,144,126,Dallas Mavericks,Los Angeles Clippers,18
"Fri, Nov 10, 2023",Phoenix Suns,Los Angeles Lakers,119,122,Los Angeles Lakers,Phoenix Suns,3
"Fri, Nov 10, 2023",Sacramento Kings,Oklahoma City Thunder,105,98,Sacramento Kings,Oklahoma City Thunder,7
"Sat, Nov 11, 2023",Orlando Magic,Milwaukee Bucks,112,97,Orlando Magic,Milwaukee Bucks,15
"Sat, Nov 11, 2023",Boston Celtics,Toronto Raptors,117,94,Boston Celtics,Toronto Raptors,23
"Sat, Nov 11, 2023",Atlanta Hawks,Miami Heat,109,117,Miami Heat,Atlanta Hawks,8
"Sat, Nov 11, 2023",Golden State Warriors,Cleveland Cavaliers,110,118,Cleveland Cavaliers,Golden State Warriors,8
"Sun, Nov 12, 2023",New York Knicks,Charlotte Hornets,129,107,New York Knicks,Charlotte Hornets,22
"Sun, Nov 12, 2023",Brooklyn Nets,Washington Wizards,102,94,Brooklyn Nets,Washington Wizards,8
"Sun, Nov 12, 2023",Los Angeles Clippers,Memphis Grizzlies,101,105,Memphis Grizzlies,Los Angeles Clippers,4
"Sun, Nov 12, 2023",Philadelphia 76ers,Indiana Pacers,137,126,Philadelphia 76ers,Indiana Pacers,11
"Sun, Nov 12, 2023",Chicago Bulls,Detroit Pistons,119,108,Chicago Bulls,Detroit Pistons,11
"Sun, Nov 12, 2023",Houston Rockets,Denver Nuggets,107,104,Houston Rockets,Denver Nuggets,3
"Sun, Nov 12, 2023",New Orleans Pelicans,Dallas Mavericks,124,136,Dallas Mavericks,New Orleans Pelicans,12
"Sun, Nov 12, 2023",San Antonio Spurs,Miami Heat,113,118,Miami Heat,San Antonio Spurs,5
"Sun, Nov 12, 2023",Phoenix Suns,Oklahoma City Thunder,99,111,Oklahoma City Thunder,Phoenix Suns,12
"Sun, Nov 12, 2023",Golden State Warriors,Minnesota Timberwolves,110,116,Minnesota Timberwolves,Golden State Warriors,6
