game_id,home_team,away_team,home_win,point_differential,home_ORtg,home_DRtg,home_NRtg,home_Off_eFG%,home_Off_TOV%,home_Def_DRB%,home_clutch_PTS,home_clutch_FG%,home_clutch_REB,home_clutch_AST,home_clutch_TOV,away_ORtg,away_DRtg,away_NRtg,away_Off_eFG%,away_Off_TOV%,away_Def_DRB%,away_clutch_PTS,away_clutch_FG%,away_clutch_REB,away_clutch_AST,away_clutch_TOV
11,Chicago Bulls,Oklahoma City Thunder,0,20,114.9,116.3,-1.4,0.534,11.0,76.4,11.9,48.4,4.2,2.3,1.1,119.5,112.1,7.4,0.573,11.4,73.8,9.3,52.5,2.9,1.6,0.9
12,Utah Jazz,Sacramento Kings,0,16,115.5,120.4,-4.9,0.539,13.6,75.2,9.4,45.1,3.9,1.9,1.3,116.9,115.2,1.7,0.556,11.6,78.4,10.0,44.9,4.1,1.7,1.2
13,San Antonio Spurs,Dallas Mavericks,0,7,110.0,116.4,-6.4,0.532,13.2,76.4,7.9,40.6,3.5,1.7,1.2,117.6,115.4,2.2,0.562,11.2,75.2,9.4,47.5,3.0,1.8,0.5
14,Los Angeles Clippers,Portland Trail Blazers,1,12,118.8,115.4,3.4,0.561,12.0,74.8,7.9,44.1,2.7,1.4,0.8,108.3,117.5,-9.2,0.503,13.4,74.0,9.1,45.7,4.0,1.8,1.6
15,Milwaukee Bucks,Philadelphia 76ers,1,1,118.4,115.8,2.6,0.568,11.5,77.2,9.9,44.1,3.2,1.8,0.9,116.9,113.8,3.1,0.532,10.7,74.3,9.3,44.7,3.3,1.7,0.9
16,Los Angeles Lakers,Phoenix Suns,1,5,115.9,115.3,0.6,0.566,12.5,76.2,10.8,46.4,4.0,1.8,1.0,117.6,114.6,3.0,0.565,13.4,75.6,7.5,40.7,3.0,1.5,0.8
17,Memphis Grizzlies,Denver Nuggets,0,4,107.2,114.3,-7.1,0.509,13.4,74.8,7.2,40.1,3.2,1.0,1.2,118.5,113.0,5.5,0.562,11.5,75.6,9.1,53.0,3.1,1.8,0.9
18,Charlotte Hornets,Detroit Pistons,0,12,109.3,119.8,-10.5,0.529,12.6,74.5,8.1,47.2,2.9,1.5,0.9,109.7,118.8,-9.1,0.526,13.5,77.3,6.0,35.7,2.9,0.9,0.9
19,Atlanta Hawks,New York Knicks,0,6,117.2,119.4,-2.2,0.539,11.6,75.2,8.0,38.3,3.3,0.9,0.8,118.2,113.4,4.8,0.54,11.9,76.1,8.6,44.0,3.5,1.3,0.6
20,Cleveland Cavaliers,Oklahoma City Thunder,0,3,115.2,112.7,2.5,0.557,12.4,76.9,7.7,43.2,3.1,1.5,1.1,119.5,112.1,7.4,0.573,11.4,73.8,9.3,52.5,2.9,1.6,0.9
21,Boston Celtics,Miami Heat,1,8,123.2,111.6,11.6,0.578,10.8,76.3,9.5,44.8,3.7,1.5,0.8,114.0,112.2,1.8,0.538,11.7,78.1,7.1,36.3,2.9,1.0,0.8
22,Chicago Bulls,Toronto Raptors,1,1,114.9,116.3,-1.4,0.534,11.0,76.4,11.9,48.4,4.2,2.3,1.1,112.3,118.8,-6.5,0.535,12.4,73.9,8.2,45.1,3.7,1.6,1.0
23,San Antonio Spurs,Houston Rockets,1,4,110.0,116.4,-6.4,0.532,13.2,76.4,7.9,40.6,3.5,1.7,1.2,114.5,113.4,1.1,0.529,11.2,76.0,8.4,41.8,3.0,1.7,0.6
