Home Team,Away Team,Winner,Point Differential
Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers,40
Sacramento Kings,Los Angeles Lakers,Sacramento Kings,5
Indiana Pacers,Chicago Bulls,Chicago Bulls,7
Washington Wizards,Boston Celtics,Boston Celtics,19
Charlotte Hornets,Brooklyn Nets,Brooklyn Nets,12
Toronto Raptors,Portland Trail Blazers,Portland Trail Blazers,8
Atlanta Hawks,Minnesota Timberwolves,Atlanta Hawks,14
Memphis Grizzlies,Dallas Mavericks,Dallas Mavericks,15
Milwaukee Bucks,Miami Heat,Milwaukee Bucks,8
New Orleans Pelicans,Golden State Warriors,Golden State Warriors,28
Oklahoma City Thunder,Detroit Pistons,Oklahoma City Thunder,12
Denver Nuggets,Utah Jazz,Denver Nuggets,8
Los Angeles Lakers,Orlando Magic,Los Angeles Lakers,3
Cleveland Cavaliers,New York Knicks,New York Knicks,18
Phoenix Suns,San Antonio Spurs,San Antonio Spurs,1
Los Angeles Clippers,Orlando Magic,Los Angeles Clippers,16
Detroit Pistons,Portland Trail Blazers,Portland Trail Blazers,9
Toronto Raptors,Milwaukee Bucks,Toronto Raptors,19
Atlanta Hawks,Washington Wizards,Atlanta Hawks,9
Boston Celtics,Indiana Pacers,Boston Celtics,51
Miami Heat,Brooklyn Nets,Brooklyn Nets,4
New York Knicks,Cleveland Cavaliers,Cleveland Cavaliers,6
Oklahoma City Thunder,New Orleans Pelicans,New Orleans Pelicans,4
Houston Rockets,Charlotte Hornets,Houston Rockets,9
Minnesota Timberwolves,Denver Nuggets,Minnesota Timberwolves,21
Dallas Mavericks,Chicago Bulls,Dallas Mavericks,9
Utah Jazz,Memphis Grizzlies,Utah Jazz,24
Golden State Warriors,Sacramento Kings,Golden State Warriors,1
Los Angeles Lakers,Los Angeles Clippers,Los Angeles Lakers,5
Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,15
New Orleans Pelicans,Detroit Pistons,New Orleans Pelicans,9
Utah Jazz,Orlando Magic,Orlando Magic,2
Phoenix Suns,San Antonio Spurs,San Antonio Spurs,11
Indiana Pacers,Cleveland Cavaliers,Indiana Pacers,5
Milwaukee Bucks,New York Knicks,Milwaukee Bucks,5
Chicago Bulls,Brooklyn Nets,Brooklyn Nets,2
Miami Heat,Washington Wizards,Miami Heat,7
Oklahoma City Thunder,Golden State Warriors,Golden State Warriors,2
Denver Nuggets,Dallas Mavericks,Denver Nuggets,11
Portland Trail Blazers,Memphis Grizzlies,Portland Trail Blazers,2
Philadelphia 76ers,Phoenix Suns,Philadelphia 76ers,12
Indiana Pacers,Charlotte Hornets,Charlotte Hornets,1
New Orleans Pelicans,Atlanta Hawks,Atlanta Hawks,18
Orlando Magic,Los Angeles Lakers,Orlando Magic,19
Brooklyn Nets,Boston Celtics,Boston Celtics,10
Houston Rockets,Sacramento Kings,Houston Rockets,18
Minnesota Timberwolves,Utah Jazz,Minnesota Timberwolves,28
Denver Nuggets,Chicago Bulls,Denver Nuggets,22
Detroit Pistons,Phoenix Suns,Phoenix Suns,14
San Antonio Spurs,Toronto Raptors,Toronto Raptors,7
Cleveland Cavaliers,Golden State Warriors,Cleveland Cavaliers,11
Dallas Mavericks,Charlotte Hornets,Dallas Mavericks,6
Portland Trail Blazers,Memphis Grizzlies,Memphis Grizzlies,12
Detroit Pistons,Golden State Warriors,Golden State Warriors,11
Indiana Pacers,San Antonio Spurs,Indiana Pacers,41
Orlando Magic,Dallas Mavericks,Dallas Mavericks,15
Philadelphia 76ers,Washington Wizards,Philadelphia 76ers,18
Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks,4
Miami Heat,Los Angeles Lakers,Miami Heat,1
New York Knicks,Los Angeles Clippers,New York Knicks,14
Chicago Bulls,Utah Jazz,Chicago Bulls,17
Houston Rockets,Sacramento Kings,Houston Rockets,25
Minnesota Timberwolves,Boston Celtics,Minnesota Timberwolves,5
Oklahoma City Thunder,Atlanta Hawks,Oklahoma City Thunder,9
Denver Nuggets,New Orleans Pelicans,Denver Nuggets,18
Charlotte Hornets,Washington Wizards,Washington Wizards,16
Indiana Pacers,Utah Jazz,Indiana Pacers,16
Philadelphia 76ers,Boston Celtics,Philadelphia 76ers,3
Brooklyn Nets,Los Angeles Clippers,Brooklyn Nets,7
New York Knicks,San Antonio Spurs,New York Knicks,21
Chicago Bulls,Phoenix Suns,Phoenix Suns,1
Houston Rockets,Los Angeles Lakers,Houston Rockets,34
Memphis Grizzlies,Miami Heat,Miami Heat,6
Milwaukee Bucks,Detroit Pistons,Milwaukee Bucks,2
Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves,21
Oklahoma City Thunder,Cleveland Cavaliers,Oklahoma City Thunder,8
Dallas Mavericks,Toronto Raptors,Toronto Raptors,11
Denver Nuggets,Golden State Warriors,Denver Nuggets,3
Sacramento Kings,Portland Trail Blazers,Sacramento Kings,3
Indiana Pacers,Milwaukee Bucks,Indiana Pacers,2
Orlando Magic,Atlanta Hawks,Atlanta Hawks,1
Detroit Pistons,Philadelphia 76ers,Philadelphia 76ers,8
Washington Wizards,Charlotte Hornets,Charlotte Hornets,7
Boston Celtics,Brooklyn Nets,Boston Celtics,14
Houston Rockets,New Orleans Pelicans,Houston Rockets,3
Memphis Grizzlies,Utah Jazz,Utah Jazz,6
San Antonio Spurs,Minnesota Timberwolves,Minnesota Timberwolves,7
Dallas Mavericks,Los Angeles Clippers,Dallas Mavericks,18
Phoenix Suns,Los Angeles Lakers,Los Angeles Lakers,3
Sacramento Kings,Oklahoma City Thunder,Sacramento Kings,7
Orlando Magic,Milwaukee Bucks,Orlando Magic,15
Boston Celtics,Toronto Raptors,Boston Celtics,23
Atlanta Hawks,Miami Heat,Miami Heat,8
Golden State Warriors,Cleveland Cavaliers,Cleveland Cavaliers,8
New York Knicks,Charlotte Hornets,New York Knicks,22
Brooklyn Nets,Washington Wizards,Brooklyn Nets,8
Los Angeles Clippers,Memphis Grizzlies,Memphis Grizzlies,4
Philadelphia 76ers,Indiana Pacers,Philadelphia 76ers,11
Chicago Bulls,Detroit Pistons,Chicago Bulls,11
Houston Rockets,Denver Nuggets,Houston Rockets,3
New Orleans Pelicans,Dallas Mavericks,Dallas Mavericks,12
San Antonio Spurs,Miami Heat,Miami Heat,5
Phoenix Suns,Oklahoma City Thunder,Oklahoma City Thunder,12
Golden State Warriors,Minnesota Timberwolves,Minnesota Timberwolves,6
Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,6
Boston Celtics,New York Knicks,Boston Celtics,16
Toronto Raptors,Washington Wizards,Toronto Raptors,4
Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,9
Sacramento Kings,Cleveland Cavaliers,Sacramento Kings,12
Charlotte Hornets,Miami Heat,Miami Heat,6
Detroit Pistons,Atlanta Hawks,Atlanta Hawks,6
Philadelphia 76ers,Indiana Pacers,Indiana Pacers,6
Brooklyn Nets,Orlando Magic,Brooklyn Nets,20
Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,36
New Orleans Pelicans,Dallas Mavericks,New Orleans Pelicans,21
Utah Jazz,Portland Trail Blazers,Utah Jazz,16
Denver Nuggets,Los Angeles Clippers,Denver Nuggets,3
Golden State Warriors,Minnesota Timberwolves,Minnesota Timberwolves,3
Los Angeles Lakers,Memphis Grizzlies,Los Angeles Lakers,27
Washington Wizards,Dallas Mavericks,Dallas Mavericks,13
Atlanta Hawks,New York Knicks,New York Knicks,2
Philadelphia 76ers,Boston Celtics,Boston Celtics,10
Toronto Raptors,Milwaukee Bucks,Milwaukee Bucks,16
Chicago Bulls,Orlando Magic,Orlando Magic,2
Phoenix Suns,Minnesota Timberwolves,Phoenix Suns,18
Los Angeles Lakers,Sacramento Kings,Sacramento Kings,15
Portland Trail Blazers,Cleveland Cavaliers,Cleveland Cavaliers,14
Miami Heat,Brooklyn Nets,Miami Heat,7
Golden State Warriors,Oklahoma City Thunder,Oklahoma City Thunder,19
Charlotte Hornets,Milwaukee Bucks,Milwaukee Bucks,31
Washington Wizards,New York Knicks,New York Knicks,21
Atlanta Hawks,Philadelphia 76ers,Philadelphia 76ers,10
Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,8
San Antonio Spurs,Sacramento Kings,Sacramento Kings,9
Toronto Raptors,Boston Celtics,Boston Celtics,3
Chicago Bulls,Orlando Magic,Orlando Magic,6
New Orleans Pelicans,Denver Nuggets,New Orleans Pelicans,5
Portland Trail Blazers,Los Angeles Lakers,Los Angeles Lakers,12
Utah Jazz,Phoenix Suns,Phoenix Suns,3
Los Angeles Clippers,Houston Rockets,Los Angeles Clippers,6
Charlotte Hornets,New York Knicks,New York Knicks,14
New Orleans Pelicans,Minnesota Timberwolves,Minnesota Timberwolves,1
Chicago Bulls,Miami Heat,Chicago Bulls,5
Milwaukee Bucks,Dallas Mavericks,Milwaukee Bucks,7
San Antonio Spurs,Memphis Grizzlies,Memphis Grizzlies,12
Golden State Warriors,Oklahoma City Thunder,Oklahoma City Thunder,7
Brooklyn Nets,Philadelphia 76ers,Philadelphia 76ers,22
Toronto Raptors,Detroit Pistons,Toronto Raptors,29
Indiana Pacers,Orlando Magic,Orlando Magic,12
Cleveland Cavaliers,Denver Nuggets,Cleveland Cavaliers,12
Dallas Mavericks,Sacramento Kings,Sacramento Kings,16
Memphis Grizzlies,Boston Celtics,Boston Celtics,2
Utah Jazz,Phoenix Suns,Phoenix Suns,3
Portland Trail Blazers,Oklahoma City Thunder,Oklahoma City Thunder,43
Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,1
Charlotte Hornets,Boston Celtics,Charlotte Hornets,3
Detroit Pistons,Denver Nuggets,Denver Nuggets,4
Washington Wizards,Milwaukee Bucks,Milwaukee Bucks,13
Chicago Bulls,Miami Heat,Miami Heat,18
Minnesota Timberwolves,New York Knicks,Minnesota Timberwolves,17
New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,36
San Antonio Spurs,Los Angeles Clippers,Los Angeles Clippers,25
Golden State Warriors,Houston Rockets,Golden State Warriors,5
Orlando Magic,Toronto Raptors,Orlando Magic,19
Atlanta Hawks,Indiana Pacers,Indiana Pacers,5
Philadelphia 76ers,Cleveland Cavaliers,Cleveland Cavaliers,3
Phoenix Suns,Portland Trail Blazers,Phoenix Suns,13
Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,32
Charlotte Hornets,Washington Wizards,Charlotte Hornets,3
Orlando Magic,Denver Nuggets,Orlando Magic,5
Atlanta Hawks,Brooklyn Nets,Atlanta Hawks,2
Boston Celtics,Milwaukee Bucks,Boston Celtics,3
Cleveland Cavaliers,Miami Heat,Miami Heat,33
Indiana Pacers,Toronto Raptors,Toronto Raptors,1
Houston Rockets,Memphis Grizzlies,Houston Rockets,20
Minnesota Timberwolves,Philadelphia 76ers,Minnesota Timberwolves,13
New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,5
Oklahoma City Thunder,Chicago Bulls,Oklahoma City Thunder,14
San Antonio Spurs,Los Angeles Clippers,Los Angeles Clippers,7
Phoenix Suns,Golden State Warriors,Phoenix Suns,8
Portland Trail Blazers,Utah Jazz,Portland Trail Blazers,16
Los Angeles Lakers,Dallas Mavericks,Dallas Mavericks,3
Orlando Magic,Boston Celtics,Orlando Magic,17
Memphis Grizzlies,Phoenix Suns,Phoenix Suns,21
New York Knicks,Miami Heat,New York Knicks,2
Toronto Raptors,Chicago Bulls,Toronto Raptors,13
Houston Rockets,Denver Nuggets,Houston Rockets,19
Indiana Pacers,Detroit Pistons,Indiana Pacers,23
Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,3
Minnesota Timberwolves,Sacramento Kings,Sacramento Kings,13
Golden State Warriors,San Antonio Spurs,Golden State Warriors,6
Los Angeles Clippers,New Orleans Pelicans,New Orleans Pelicans,10
Oklahoma City Thunder,Philadelphia 76ers,Philadelphia 76ers,4
Brooklyn Nets,Miami Heat,Brooklyn Nets,15
Washington Wizards,Atlanta Hawks,Atlanta Hawks,28
Cleveland Cavaliers,Los Angeles Lakers,Los Angeles Lakers,6
Utah Jazz,New Orleans Pelicans,Utah Jazz,5
Los Angeles Clippers,Dallas Mavericks,Los Angeles Clippers,19
Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,6
Boston Celtics,Atlanta Hawks,Boston Celtics,10
Memphis Grizzlies,Minnesota Timberwolves,Minnesota Timberwolves,22
New York Knicks,Phoenix Suns,Phoenix Suns,3
Orlando Magic,Charlotte Hornets,Orlando Magic,13
Brooklyn Nets,Chicago Bulls,Brooklyn Nets,9
Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,3
Denver Nuggets,San Antonio Spurs,Denver Nuggets,12
Detroit Pistons,Washington Wizards,Washington Wizards,19
Indiana Pacers,Portland Trail Blazers,Portland Trail Blazers,4
Philadelphia 76ers,Los Angeles Lakers,Philadelphia 76ers,44
Utah Jazz,New Orleans Pelicans,Utah Jazz,2
Los Angeles Clippers,Denver Nuggets,Denver Nuggets,9
Boston Celtics,Chicago Bulls,Boston Celtics,27
Brooklyn Nets,Toronto Raptors,Brooklyn Nets,12
Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers,23
Miami Heat,Milwaukee Bucks,Milwaukee Bucks,7
New York Knicks,Charlotte Hornets,New York Knicks,24
Minnesota Timberwolves,Oklahoma City Thunder,Minnesota Timberwolves,3
Dallas Mavericks,Houston Rockets,Dallas Mavericks,6
Sacramento Kings,Golden State Warriors,Sacramento Kings,1
Detroit Pistons,Los Angeles Lakers,Los Angeles Lakers,26
Orlando Magic,Washington Wizards,Orlando Magic,19
Toronto Raptors,Phoenix Suns,Toronto Raptors,7
Memphis Grizzlies,Utah Jazz,Memphis Grizzlies,14
New Orleans Pelicans,Philadelphia 76ers,New Orleans Pelicans,10
Denver Nuggets,Houston Rockets,Denver Nuggets,10
Sacramento Kings,Los Angeles Clippers,Los Angeles Clippers,14
Cleveland Cavaliers,Portland Trail Blazers,Portland Trail Blazers,8
Brooklyn Nets,Charlotte Hornets,Charlotte Hornets,1
Miami Heat,Indiana Pacers,Miami Heat,10
New York Knicks,Detroit Pistons,New York Knicks,6
Chicago Bulls,Milwaukee Bucks,Chicago Bulls,7
Minnesota Timberwolves,Utah Jazz,Minnesota Timberwolves,11
Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,23
San Antonio Spurs,Atlanta Hawks,Atlanta Hawks,2
Golden State Warriors,Los Angeles Clippers,Golden State Warriors,6
Orlando Magic,Washington Wizards,Orlando Magic,5
Boston Celtics,Philadelphia 76ers,Boston Celtics,6
Dallas Mavericks,Memphis Grizzlies,Memphis Grizzlies,14
Toronto Raptors,New York Knicks,New York Knicks,13
New Orleans Pelicans,San Antonio Spurs,New Orleans Pelicans,15
Phoenix Suns,Denver Nuggets,Denver Nuggets,8
Los Angeles Clippers,Golden State Warriors,Los Angeles Clippers,1
Charlotte Hornets,Minnesota Timberwolves,Minnesota Timberwolves,6
Brooklyn Nets,Orlando Magic,Brooklyn Nets,28
Detroit Pistons,Cleveland Cavaliers,Cleveland Cavaliers,9
Chicago Bulls,New Orleans Pelicans,Chicago Bulls,6
Miami Heat,Indiana Pacers,Indiana Pacers,15
Milwaukee Bucks,Atlanta Hawks,Milwaukee Bucks,11
Dallas Mavericks,Oklahoma City Thunder,Oklahoma City Thunder,6
Phoenix Suns,Memphis Grizzlies,Phoenix Suns,7
Utah Jazz,Portland Trail Blazers,Utah Jazz,5
Sacramento Kings,Denver Nuggets,Sacramento Kings,6
Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,10
Indiana Pacers,Boston Celtics,Indiana Pacers,10
Sacramento Kings,New Orleans Pelicans,New Orleans Pelicans,10
Milwaukee Bucks,New York Knicks,Milwaukee Bucks,24
Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,3
Cleveland Cavaliers,Orlando Magic,Cleveland Cavaliers,10
Detroit Pistons,Memphis Grizzlies,Memphis Grizzlies,14
Washington Wizards,Philadelphia 76ers,Philadelphia 76ers,5
Atlanta Hawks,Brooklyn Nets,Brooklyn Nets,1
Minnesota Timberwolves,San Antonio Spurs,Minnesota Timberwolves,8
Toronto Raptors,Miami Heat,Miami Heat,9
Chicago Bulls,Charlotte Hornets,Chicago Bulls,11
Houston Rockets,Oklahoma City Thunder,Houston Rockets,9
Dallas Mavericks,Utah Jazz,Dallas Mavericks,50
Golden State Warriors,Portland Trail Blazers,Golden State Warriors,4
Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,9
Milwaukee Bucks,Indiana Pacers,Indiana Pacers,9
Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers,44
Charlotte Hornets,Toronto Raptors,Charlotte Hornets,3
Orlando Magic,Detroit Pistons,Orlando Magic,32
Philadelphia 76ers,Atlanta Hawks,Philadelphia 76ers,11
Boston Celtics,New York Knicks,Boston Celtics,10
Brooklyn Nets,Washington Wizards,Brooklyn Nets,27
Memphis Grizzlies,Minnesota Timberwolves,Minnesota Timberwolves,24
Miami Heat,Cleveland Cavaliers,Cleveland Cavaliers,12
Oklahoma City Thunder,Golden State Warriors,Oklahoma City Thunder,2
San Antonio Spurs,Chicago Bulls,Chicago Bulls,9
Denver Nuggets,Houston Rockets,Houston Rockets,8
Phoenix Suns,Sacramento Kings,Sacramento Kings,8
Portland Trail Blazers,Dallas Mavericks,Dallas Mavericks,13
Utah Jazz,Los Angeles Clippers,Los Angeles Clippers,14
Los Angeles Lakers,Indiana Pacers,Los Angeles Lakers,14
Charlotte Hornets,Miami Heat,Miami Heat,2
Detroit Pistons,Indiana Pacers,Indiana Pacers,8
Orlando Magic,Cleveland Cavaliers,Orlando Magic,10
Philadelphia 76ers,Washington Wizards,Philadelphia 76ers,45
Atlanta Hawks,Denver Nuggets,Denver Nuggets,7
New York Knicks,Toronto Raptors,New York Knicks,6
Houston Rockets,San Antonio Spurs,Houston Rockets,11
Memphis Grizzlies,Dallas Mavericks,Dallas Mavericks,7
Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,4
New Orleans Pelicans,Minnesota Timberwolves,New Orleans Pelicans,14
Oklahoma City Thunder,Utah Jazz,Oklahoma City Thunder,14
Sacramento Kings,Brooklyn Nets,Sacramento Kings,13
Los Angeles Clippers,Portland Trail Blazers,Los Angeles Clippers,5
Boston Celtics,Cleveland Cavaliers,Boston Celtics,7
Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,2
Chicago Bulls,Denver Nuggets,Denver Nuggets,8
Phoenix Suns,Golden State Warriors,Phoenix Suns,3
Los Angeles Clippers,Sacramento Kings,Los Angeles Clippers,20
Detroit Pistons,Philadelphia 76ers,Philadelphia 76ers,18
Washington Wizards,New Orleans Pelicans,New Orleans Pelicans,20
Miami Heat,Charlotte Hornets,Miami Heat,11
Toronto Raptors,Atlanta Hawks,Toronto Raptors,7
Houston Rockets,Memphis Grizzlies,Houston Rockets,13
Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks,14
San Antonio Spurs,Los Angeles Lakers,Los Angeles Lakers,3
Phoenix Suns,Brooklyn Nets,Brooklyn Nets,4
Utah Jazz,New York Knicks,Utah Jazz,4
Boston Celtics,Cleveland Cavaliers,Boston Celtics,9
Miami Heat,Chicago Bulls,Chicago Bulls,8
Dallas Mavericks,Minnesota Timberwolves,Minnesota Timberwolves,18
Denver Nuggets,Brooklyn Nets,Denver Nuggets,23
Portland Trail Blazers,Utah Jazz,Utah Jazz,8
Sacramento Kings,Oklahoma City Thunder,Sacramento Kings,5
Los Angeles Clippers,Golden State Warriors,Los Angeles Clippers,8
Charlotte Hornets,New Orleans Pelicans,New Orleans Pelicans,5
Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,32
Washington Wizards,Indiana Pacers,Washington Wizards,14
Boston Celtics,Orlando Magic,Boston Celtics,17
San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,14
Toronto Raptors,Atlanta Hawks,Atlanta Hawks,21
Memphis Grizzlies,Houston Rockets,Houston Rockets,7
Phoenix Suns,New York Knicks,New York Knicks,17
Milwaukee Bucks,Detroit Pistons,Milwaukee Bucks,32
Charlotte Hornets,Philadelphia 76ers,Philadelphia 76ers,53
Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers,8
Miami Heat,Chicago Bulls,Miami Heat,2
Minnesota Timberwolves,Indiana Pacers,Minnesota Timberwolves,18
Golden State Warriors,Brooklyn Nets,Golden State Warriors,4
Denver Nuggets,Oklahoma City Thunder,Oklahoma City Thunder,1
Portland Trail Blazers,Dallas Mavericks,Dallas Mavericks,11
Sacramento Kings,Utah Jazz,Sacramento Kings,21
Los Angeles Clippers,New York Knicks,Los Angeles Clippers,22
Boston Celtics,Orlando Magic,Boston Celtics,17
San Antonio Spurs,New Orleans Pelicans,New Orleans Pelicans,36
Milwaukee Bucks,Houston Rockets,Milwaukee Bucks,9
Phoenix Suns,Washington Wizards,Phoenix Suns,4
Portland Trail Blazers,Golden State Warriors,Golden State Warriors,4
Cleveland Cavaliers,Houston Rockets,Cleveland Cavaliers,5
Indiana Pacers,Los Angeles Clippers,Los Angeles Clippers,24
Philadelphia 76ers,Chicago Bulls,Chicago Bulls,4
Atlanta Hawks,Detroit Pistons,Atlanta Hawks,6
Miami Heat,Minnesota Timberwolves,Minnesota Timberwolves,4
Toronto Raptors,Charlotte Hornets,Toronto Raptors,15
Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,19
Denver Nuggets,Dallas Mavericks,Denver Nuggets,26
Utah Jazz,Brooklyn Nets,Utah Jazz,17
Sacramento Kings,Washington Wizards,Sacramento Kings,12
Los Angeles Lakers,New York Knicks,New York Knicks,5
New Orleans Pelicans,Memphis Grizzlies,Memphis Grizzlies,2
Milwaukee Bucks,San Antonio Spurs,Milwaukee Bucks,13
Golden State Warriors,Boston Celtics,Golden State Warriors,6
Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,5
Cleveland Cavaliers,Utah Jazz,Cleveland Cavaliers,8
Indiana Pacers,Charlotte Hornets,Indiana Pacers,31
Orlando Magic,Miami Heat,Miami Heat,9
Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers,14
Brooklyn Nets,New York Knicks,New York Knicks,19
Toronto Raptors,Denver Nuggets,Denver Nuggets,9
Chicago Bulls,Los Angeles Lakers,Chicago Bulls,16
Houston Rockets,Atlanta Hawks,Atlanta Hawks,7
Dallas Mavericks,Los Angeles Clippers,Los Angeles Clippers,9
Sacramento Kings,Boston Celtics,Boston Celtics,25
Detroit Pistons,Utah Jazz,Utah Jazz,8
Cleveland Cavaliers,New Orleans Pelicans,New Orleans Pelicans,19
Chicago Bulls,San Antonio Spurs,Chicago Bulls,19
Memphis Grizzlies,Indiana Pacers,Memphis Grizzlies,13
Milwaukee Bucks,Orlando Magic,Milwaukee Bucks,4
Oklahoma City Thunder,Los Angeles Clippers,Oklahoma City Thunder,19
Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,7
Portland Trail Blazers,Washington Wizards,Washington Wizards,1
Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,10
Brooklyn Nets,Denver Nuggets,Denver Nuggets,5
Houston Rockets,Dallas Mavericks,Houston Rockets,26
Miami Heat,Atlanta Hawks,Miami Heat,9
Golden State Warriors,Washington Wizards,Golden State Warriors,11
Sacramento Kings,Phoenix Suns,Sacramento Kings,15
New York Knicks,Milwaukee Bucks,Milwaukee Bucks,19
Los Angeles Clippers,Boston Celtics,Boston Celtics,37
Charlotte Hornets,Denver Nuggets,Denver Nuggets,7
Indiana Pacers,Orlando Magic,Orlando Magic,7
New Orleans Pelicans,Houston Rockets,Houston Rockets,2
Atlanta Hawks,Memphis Grizzlies,Memphis Grizzlies,6
Brooklyn Nets,Detroit Pistons,Brooklyn Nets,11
Toronto Raptors,Utah Jazz,Utah Jazz,7
Chicago Bulls,Cleveland Cavaliers,Cleveland Cavaliers,14
Oklahoma City Thunder,Los Angeles Lakers,Los Angeles Lakers,9
Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,25
Golden State Warriors,Portland Trail Blazers,Golden State Warriors,20
Sacramento Kings,Minnesota Timberwolves,Minnesota Timberwolves,12
New York Knicks,Milwaukee Bucks,New York Knicks,7
Denver Nuggets,Golden State Warriors,Denver Nuggets,6
Los Angeles Lakers,Boston Celtics,Boston Celtics,11
Miami Heat,Philadelphia 76ers,Miami Heat,6
Phoenix Suns,Dallas Mavericks,Dallas Mavericks,14
Detroit Pistons,Brooklyn Nets,Brooklyn Nets,6
Washington Wizards,Orlando Magic,Orlando Magic,8
Chicago Bulls,Atlanta Hawks,Chicago Bulls,5
Houston Rockets,Indiana Pacers,Indiana Pacers,6
New Orleans Pelicans,Memphis Grizzlies,Memphis Grizzlies,1
Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder,23
San Antonio Spurs,Utah Jazz,Utah Jazz,12
Portland Trail Blazers,Sacramento Kings,Portland Trail Blazers,17
Los Angeles Clippers,Charlotte Hornets,Los Angeles Clippers,9
Orlando Magic,Philadelphia 76ers,Philadelphia 76ers,20
Washington Wizards,Toronto Raptors,Toronto Raptors,30
Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks,22
Houston Rockets,Phoenix Suns,Phoenix Suns,16
Oklahoma City Thunder,New York Knicks,Oklahoma City Thunder,9
